Producto;Precio;Imagen
Cereal Nikitos Bolitas Dulces 80 G;$959,00;D:/python/scrapling/imagenes_productos_chango\Cereal Nikitos Bolitas Dulces 80 G_21.jpg
Barra De Arroz Gallo Chocobar Con Pasta De Maní 20 G;$1.059,00;D:/python/scrapling/imagenes_productos_chango\Barra De Arroz Gallo Chocobar Con Pasta _12.jpg
Barra De Cereal Flow Almendras Con Chocolate X 30 G;$1.099,00;D:/python/scrapling/imagenes_productos_chango\Barra De Cereal Flow Almendras Con Choco_23.jpg
Cereal Check Anillos De Colores Frutal 200 G;$1.799,00;D:/python/scrapling/imagenes_productos_chango\Cereal Check Anillos De Colores Frutal 2_1.jpg
Cereal Bolitas Check Chocolate 200 G;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Cereal Bolitas Check Chocolate 200 G_0.jpg
Cereal Check Bastoncitos Integrales De Salvado 250 G;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Cereal Check Bastoncitos Integrales De S_14.jpg
Cereal Check Ositos Azucarados 200 G;$2.299,00;D:/python/scrapling/imagenes_productos_chango\Cereal Check Ositos Azucarados 200 G_15.jpg
Cereales Naturitos Granix Sabor Frutos Rojos 90 G;$2.349,00;D:/python/scrapling/imagenes_productos_chango\Cereales Naturitos Granix Sabor Frutos R_16.jpg
Cereal Azucarado Skarchitos 240 Gr;$2.809,00;D:/python/scrapling/imagenes_productos_chango\Cereal Azucarado Skarchitos 240 Gr_4.jpg
Fibra Total Copos Integrales Con Pasas Granix 200gr;$2.909,00;D:/python/scrapling/imagenes_productos_chango\Fibra Total Copos Integrales Con Pasas G_20.jpg
