Producto;Precio;Imagen
Jabón En Barra Baby Dove Humectación Sensible 75 G;$1.679,30;D:/python/scrapling/imagenes_productos_chango\Jabón En Barra Baby Dove Humectación Sen_1.jpg
Toallitas Húmedas Con Q-Soft Aloe Y Vitamina E 50 U;$1.871,35;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Con Q-Soft Aloe Y Vita_12.jpg
Toallitas Húmedas Con Q-Soft Aloe Y Vitamina E 50 U;$1.871,35;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Con Q-Soft Aloe Y Vita_20.jpg
Toallitas Húmedas Dispita Manzanilla/ Azul 100un;$2.329,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Dispita Manzanilla Azu_11.jpg
Toallitas Humedas Antibacterial Q-Soft 30 Un;$2.749,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Humedas Antibacterial Q-Soft 3_8.jpg
Toallas Humedas Soul Baby Con Aloe Y Vit E 50un;$2.999,00;D:/python/scrapling/imagenes_productos_chango\Toallas Humedas Soul Baby Con Aloe Y Vit_0.jpg
Jabón Liquido Dove Baby Hipoalergenico  Dp 180ml;$3.107,30;D:/python/scrapling/imagenes_productos_chango\Jabón Liquido Dove Baby Hipoalergenico  _16.jpg
Toallitas Húmedas Toddler Deluxe Aloe Vera 48 U;$4.169,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Toddler Deluxe Aloe Ve_9.jpg
Pañales Toddler Deluxe Talle Xxg 8 U;$4.679,00;D:/python/scrapling/imagenes_productos_chango\Pañales Toddler Deluxe Talle Xxg 8 U_2.jpg
Toallitas Húmedas Huggies Triple Protección 48un;$4.869,00;D:/python/scrapling/imagenes_productos_chango\Toallitas Húmedas Huggies Triple Protecc_4.jpg
