Producto;Precio;Fecha;Imagen
Bebida Fresh Blue Full Sport x 500 cc.;$ 1.332,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Fresh_Blue_Full_Sport_x_500_cc.jpg
Energizante Rockstar Botella 500cc x1;$ 1.997,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Energizante_Rockstar_Botella_500cc_x1.jpg
Bebida Isotónica Powerade Uva 500 Ml;$ 2.300;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Isotónica_Powerade_Uva_500_Ml.jpg
Bebida de Moras Pet Gatorade Sin Azúcar x 400 cc.;$ 2.350;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_de_Moras_Pet_Gatorade_Sin_Azúcar_x_400_cc.jpg
Bebida de Fresa y Kiwi Pet Gatorade Sin Azúcar x 400 cc.;$ 2.350;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_de_Fresa_y_Kiwi_Pet_Gatorade_Sin_Azúcar_x_400_cc.jpg
Isotónica Gatorade Cool Blue Botella 500cc x1;$ 2.362,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Cool_Blue_Botella_500cc_x1.jpg
Isotónica Gatorade Uva Botella 500cc x1;$ 2.362,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Uva_Botella_500cc_x1.jpg
Isotónica Gatorade Manzana Botella 500cc x1;$ 2.362,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Manzana_Botella_500cc_x1.jpg
Isotónica Gatorade Frutas Tropicales Botella 500cc x1;$ 2.362,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Isotónica_Gatorade_Frutas_Tropicales_Botella_500cc_x1.jpg
Bebida Energizante Summer Edition Red Bull x 250 cc.;$ 2.625,00;2026-07-19 12:23:27;d:/proyecto_supermercados_paginaweb/images/laanonima\Bebida_Energizante_Summer_Edition_Red_Bull_x_250_cc.jpg
