Producto;Precio;Imagen
Aceite Mezcla Siglo de Oro x 900 cc.;$ 3.100;D:/python/scrapling/imagenes_productos_laanonima\Aceite Mezcla Siglo de Oro x 900 cc.jpg
Aceite Mezcla Cocinero x 900 cc.;$ 3.400;D:/python/scrapling/imagenes_productos_laanonima\Aceite Mezcla Cocinero x 900 cc.jpg
Aceite de Girasol Legitimo x 900 cc.;$ 3.950;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol Legitimo x 900 cc.jpg
Aceite de Girasol Cañuelas x 900 cc.;$ 4.150;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol Cañuelas x 900 cc.jpg
Aceite de Girasol Cocinero x 900 cc.;$ 4.350;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol Cocinero x 900 cc.jpg
Aceite de Girasol Natura x 900 cc.;$ 4.450;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol Natura x 900 cc.jpg
Aceite de Girasol Pureza x 900 cc.;$ 4.500;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol Pureza x 900 cc.jpg
Rocio Vegetal sin Manteca con Harina Mama Cocina x 150 cc.;$ 4.650;D:/python/scrapling/imagenes_productos_laanonima\Rocio Vegetal sin Manteca con Harina Mam.jpg
Aceite de Girasol La Anónima x 900 cc.;$ 4.800;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Girasol La Anónima x 900 cc.jpg
Aceite de Maíz Clásico Mazola Aerosol x 126 cc.;$ 5.150;D:/python/scrapling/imagenes_productos_laanonima\Aceite de Maíz Clásico Mazola Aerosol x .jpg
