Producto;Precio;Fecha;Imagen
Sal Fina Paquete Dos Anclas x 500 g.;$ 1.120,00;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Fina_Paquete_Dos_Anclas_x_500_g.jpg
Sal Fina Dos Anclas Estuche x 500 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Fina_Dos_Anclas_Estuche_x_500_g.jpg
Provenzal Dos Anclas x 50 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Provenzal_Dos_Anclas_x_50_g.jpg
Sal Entrefina Paquete Dos Anclas x 500 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Entrefina_Paquete_Dos_Anclas_x_500_g.jpg
Oregano Doy Pack Dos Anclas x 25 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Oregano_Doy_Pack_Dos_Anclas_x_25_g.jpg
Ajo en Polvo Deshidratado Dos Anclas x 20 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Ajo_en_Polvo_Deshidratado_Dos_Anclas_x_20_g.jpg
Ají Molido Dos Anclas x 50 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Ají_Molido_Dos_Anclas_x_50_g.jpg
Pimentón Seleccionado Dos Anclas x 50 g.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Pimentón_Seleccionado_Dos_Anclas_x_50_g.jpg
Sal Gruesa Paquete Dos Anclas x 1 Kg.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Gruesa_Paquete_Dos_Anclas_x_1_Kg.jpg
Sal Entrefina Parrillera Estuche Dos Anclas x 1 Kg.;No disponible;2026-08-02 11:46:26;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Entrefina_Parrillera_Estuche_Dos_Anclas_x_1_Kg.jpg
