Producto;Precio;Imagen
Soda 1.75 Lts Cuisine & Co;$1.200;D:/python/scrapling/imagenes_productos_vea\Soda 175 Lts Cuisine  Co_0.jpg
Agua Nestle Pureza Vital 1.5lt;$1.270,8;D:/python/scrapling/imagenes_productos_vea\Agua Nestle Pureza Vital 15lt_16.jpg
Agua Villa Del Sur Pet Sin Gas 2250 Ml;$1.380;D:/python/scrapling/imagenes_productos_vea\Agua Villa Del Sur Pet Sin Gas 2250 Ml_3.jpg
Soda 2.25 Lts Cuisine & Co;$1.590;D:/python/scrapling/imagenes_productos_vea\Soda 225 Lts Cuisine  Co_4.jpg
Agua Sin Gas Villavicencio 2 L;$1.710;D:/python/scrapling/imagenes_productos_vea\Agua Sin Gas Villavicencio 2 L_6.jpg
Agua Mineral Eco De Los Andes Sin Gas 2 L;$1.750,8;D:/python/scrapling/imagenes_productos_vea\Agua Mineral Eco De Los Andes Sin Gas 2 _12.jpg
Agua Glaciar Sin Gas Botella 2ltx1;$1.920,6;D:/python/scrapling/imagenes_productos_vea\Agua Glaciar Sin Gas Botella 2ltx1_17.jpg
Saborizada Levite Pomelo 2.25lt;$2.015;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Pomelo 225lt_1.jpg
Saborizada Levite Manzana 2.25lt;$2.015;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Manzana 225lt_5.jpg
Saborizada Levite Naranja 2.25lt;$2.015;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Naranja 225lt_7.jpg
