Producto;Precio;Imagen
Maíz Pisingallo 400 Grs Cuisine y Co;$750;D:/python/scrapling/imagenes_productos_vea\Maíz Pisingallo 400 Grs Cuisine y Co_8.jpg
Maíz Pisingallo 400 Grs Egran;$910;D:/python/scrapling/imagenes_productos_vea\Maíz Pisingallo 400 Grs Egran_19.jpg
Arroz Parboil 500 Grs Lucchetti;$990;D:/python/scrapling/imagenes_productos_vea\Arroz Parboil 500 Grs Lucchetti_9.jpg
Arroz Grano Largo Fino 500 Grs Lucchetti;$999;D:/python/scrapling/imagenes_productos_vea\Arroz Grano Largo Fino 500 Grs Lucchetti_7.jpg
Maíz Pelado Blanco 400 Grs Cuisine & Co;$1.150;D:/python/scrapling/imagenes_productos_vea\Maíz Pelado Blanco 400 Grs Cuisine  Co_14.jpg
Garbanzos 400 Grs Cuisine & Co;$1.183;D:/python/scrapling/imagenes_productos_vea\Garbanzos 400 Grs Cuisine  Co_11.jpg
Arroz Blanco Largo Fino 1 Kg Vanguardia;$1.190;D:/python/scrapling/imagenes_productos_vea\Arroz Blanco Largo Fino 1 Kg Vanguardia_0.jpg
Arroz Integral 500 Grs Molinos Ala;$1.199;D:/python/scrapling/imagenes_productos_vea\Arroz Integral 500 Grs Molinos Ala_16.jpg
Lentejas 400 Grs Cuisine y Co;$1.250;D:/python/scrapling/imagenes_productos_vea\Lentejas 400 Grs Cuisine y Co_2.jpg
Arroz Integral Selección 500 Grs Gallo;$1.299;D:/python/scrapling/imagenes_productos_vea\Arroz Integral Selección 500 Grs Gallo_13.jpg
