Producto;Precio;Imagen
Polenta Presto Pronta 490gr;$799,5;D:/python/scrapling/imagenes_productos_vea\Polenta Presto Pronta 490gr_3.jpg
Harina 000 1 Kg Maxima;$890;D:/python/scrapling/imagenes_productos_vea\Harina 000 1 Kg Maxima_18.jpg
Harina 000 1 Kg Morixe;$990;D:/python/scrapling/imagenes_productos_vea\Harina 000 1 Kg Morixe_1.jpg
Harina 000 1 Kg Caserita;$990;D:/python/scrapling/imagenes_productos_vea\Harina 000 1 Kg Caserita_4.jpg
Harina Cañuelas Ultra Refinada Vitamina D 1kg;$990;D:/python/scrapling/imagenes_productos_vea\Harina Cañuelas Ultra Refinada Vitamina _9.jpg
Harina 0000 1 Kg Maxima;$1.090;D:/python/scrapling/imagenes_productos_vea\Harina 0000 1 Kg Maxima_15.jpg
Avena Tradicional 400 Grs Morixe;$1.150;D:/python/scrapling/imagenes_productos_vea\Avena Tradicional 400 Grs Morixe_14.jpg
Harina 000 1 Kg Favorita;$1.190;D:/python/scrapling/imagenes_productos_vea\Harina 000 1 Kg Favorita_7.jpg
Polenta Presto Pronta De Maíz Precocida 730gr;$1.245;D:/python/scrapling/imagenes_productos_vea\Polenta Presto Pronta De Maíz Precocida _6.jpg
Harina Leudante Fort Blancaflor 1 Kg;$1.390;D:/python/scrapling/imagenes_productos_vea\Harina Leudante Fort Blancaflor 1 Kg_0.jpg
