Producto;Precio;Imagen
Cerveza Brahma Chopp Lata 354mlx1;$975;D:/python/scrapling/imagenes_productos_vea\Cerveza Brahma Chopp Lata 354mlx1_13.jpg
Cerveza Sin Alcohol 330 Cc Corona;$1.700;D:/python/scrapling/imagenes_productos_vea\Cerveza Sin Alcohol 330 Cc Corona_17.jpg
Cerveza Quilmes Clasica 710cc;$2.145;D:/python/scrapling/imagenes_productos_vea\Cerveza Quilmes Clasica 710cc_5.jpg
Cerveza Rubia 473 Ml Schneider;$2.350;D:/python/scrapling/imagenes_productos_vea\Cerveza Rubia 473 Ml Schneider_11.jpg
Cerveza Rubia 710 Ml Schneider;$2.500;D:/python/scrapling/imagenes_productos_vea\Cerveza Rubia 710 Ml Schneider_3.jpg
Cerveza Quilmes Bajo Cero 1lt Ret.;$2.625;D:/python/scrapling/imagenes_productos_vea\Cerveza Quilmes Bajo Cero 1lt Ret_9.jpg
Cerveza Rubia 330ml Corona;$2.632,5;D:/python/scrapling/imagenes_productos_vea\Cerveza Rubia 330ml Corona_12.jpg
Cerveza Stella Artois Botella No Retornable 330mlx1;$2.775;D:/python/scrapling/imagenes_productos_vea\Cerveza Stella Artois Botella No Retorna_8.jpg
Cerveza Imperial Golden 473cc;$2.950;D:/python/scrapling/imagenes_productos_vea\Cerveza Imperial Golden 473cc_19.jpg
Cerveza Quilmes Clasica 1lt Ret;$3.090;D:/python/scrapling/imagenes_productos_vea\Cerveza Quilmes Clasica 1lt Ret_0.jpg
