Producto;Precio;Imagen
Salame Sabor Salame Feteado 70 Grs Bocatti;$3.297;D:/python/scrapling/imagenes_productos_vea\Salame Sabor Salame Feteado 70 Grs Bocat_16.jpg
Salame Fuet Doina 150 Gr;$3.900;D:/python/scrapling/imagenes_productos_vea\Salame Fuet Doina 150 Gr_11.jpg
Mortadela Mini 300 Grs Paladini;$4.500;D:/python/scrapling/imagenes_productos_vea\Mortadela Mini 300 Grs Paladini_14.jpg
Salame Sabor Salame Feteado 100 Grs Bocatti;$5.606;D:/python/scrapling/imagenes_productos_vea\Salame Sabor Salame Feteado 100 Grs Boca_1.jpg
Jamon Cocido Feteado 200 Grs Campo Austral;$6.036;D:/python/scrapling/imagenes_productos_vea\Jamon Cocido Feteado 200 Grs Campo Austr_13.jpg
Jamón Cocido Bocatti Feteado 130 Gr;$6.625;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Bocatti Feteado 130 Gr_0.jpg
Mortadela Familiar 500 Grs Paladini;$7.390;D:/python/scrapling/imagenes_productos_vea\Mortadela Familiar 500 Grs Paladini_18.jpg
Bondiola Cerdo Fetas Finas 120 Grs Paladini;$8.390;D:/python/scrapling/imagenes_productos_vea\Bondiola Cerdo Fetas Finas 120 Grs Palad_17.jpg
Fiambre De Cerdo Tripack X Kg;$10.490;D:/python/scrapling/imagenes_productos_vea\Fiambre De Cerdo Tripack X Kg_3.jpg
Salchichas Tipo Frankfurt con Piel x 4 Un Facundo;$14.324;D:/python/scrapling/imagenes_productos_vea\Salchichas Tipo Frankfurt con Piel x 4 U_19.jpg
